Family,Genus,Species,Virus name(s),Genome composition,Host source
Rudiviridae,Usarudivirus,Usarudivirus SIRV5,Sulfolobus islandicus rod-shaped virus 5,dsDNA,archaea
Rudiviridae,Usarudivirus,Usarudivirus SIRV8,Sulfolobus islandicus rod-shaped virus 8,dsDNA,archaea
Rudiviridae,Usarudivirus,Usarudivirus SIRV9,Sulfolobus islandicus rod-shaped virus 9,dsDNA,archaea
Rudiviridae,Usarudivirus,Usarudivirus SIRV10,Sulfolobus islandicus rod-shaped virus 10,dsDNA,archaea
Rudiviridae,Usarudivirus,Usarudivirus SIRV11,Sulfolobus islandicus rod-shaped virus 11,dsDNA,archaea
Ungulaviridae,Captovirus,Captovirus AFV1,Acidianus filamentous virus 1,dsDNA,archaea
Tristromaviridae,Alphatristromavirus,Alphatristromavirus PFV1,Pyrobaculum filamentous virus 1,dsDNA,archaea
Tristromaviridae,Alphatristromavirus,Alphatristromavirus PFV2,Pyrobaculum filamentous virus 2,dsDNA,archaea
Tristromaviridae,Betatristromavirus,Betatristromavirus TTV1,Thermoproteus tenax virus 1,dsDNA,archaea
Alloherpesviridae,Batrachovirus,Ranid herpesvirus 1,Luck¨¦ tumor herpesvirus; ranid herpesvirus 1,dsDNA,vertebrates
Alloherpesviridae,Batrachovirus,Ranid herpesvirus 2,frog virus 4; ranid herpesvirus 2,dsDNA,vertebrates
Alloherpesviridae,Batrachovirus,Ranid herpesvirus 3,ranid herpesvirus 3,dsDNA,vertebrates
Alloherpesviridae,Cyprinivirus,Anguillid herpesvirus 1,Japanese eel herpesvirus; anguillid herpesvirus 1,dsDNA,vertebrates
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 1,carp pox herpesvirus; cyprinid herpesvirus 1,dsDNA,vertebrates
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 2,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,dsDNA,vertebrates
Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,koi herpesvirus; cyprinid herpesvirus 3,dsDNA,vertebrates
Alloherpesviridae,Ictalurivirus,Acipenserid herpesvirus 2,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,dsDNA,vertebrates
Alloherpesviridae,Ictalurivirus,Ictalurid herpesvirus 1,channel catfish virus; ictalurid herpesvirus 1,dsDNA,vertebrates
Alloherpesviridae,Ictalurivirus,Ictalurid herpesvirus 2,black bullhead herpesvirus; ictalurid herpesvirus 2,dsDNA,vertebrates
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 1,herpesvirus salmonis; salmonid herpesvirus 1,dsDNA,vertebrates
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 2,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,dsDNA,vertebrates
Alloherpesviridae,Salmonivirus,Salmonid herpesvirus 3,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,dsDNA,vertebrates
Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,dsDNA,vertebrates
Herpesviridae,Iltovirus,Psittacid alphaherpesvirus 1,psittacid alphaherpesvirus 1; Pacheco's disease virus,dsDNA,vertebrates
Herpesviridae,Mardivirus,Anatid alphaherpesvirus 1,anatid alphaherpesvirus 1; duck enteritis virus,dsDNA,vertebrates
Herpesviridae,Mardivirus,Columbid alphaherpesvirus 1,columbid alphaherpesvirus 1; pigeon herpesvirus,dsDNA,vertebrates
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 2,gallid alphaherpesvirus 2; Marek's disease virus,dsDNA,vertebrates
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 3,gallid alphaherpesvirus 3; gallid herpesvirus 3,dsDNA,vertebrates
Herpesviridae,Mardivirus,Meleagrid alphaherpesvirus 1,meleagrid alphaherpesvirus 1; turkey herpesvirus,dsDNA,vertebrates
Herpesviridae,Mardivirus,Spheniscid alphaherpesvirus 1,spheniscid alphaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Scutavirus,Chelonid alphaherpesvirus 5,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,dsDNA,vertebrates
Herpesviridae,Scutavirus,Testudinid alphaherpesvirus 3,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Ateline alphaherpesvirus 1,ateline alphaherpesvirus 1; herpesvirus ateles 1,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Bovine alphaherpesvirus 2,bovine alphaherpesvirus 2; bovine mammillitis virus,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Cercopithecine alphaherpesvirus 2,cercopithecine alphaherpesvirus 2; simian agent 8,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Human alphaherpesvirus 1,human alphaherpesvirus 1; herpes simplex virus type 1,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Human alphaherpesvirus 2,human alphaherpesvirus 2; herpes simplex virus type 2,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Leporid alphaherpesvirus 4,leporid alphaherpesvirus 4; leporid herpesvirus 4,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1,macacine alphaherpesvirus 1; B-virus,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 2,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 3,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Macropodid alphaherpesvirus 1,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Macropodid alphaherpesvirus 2,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Panine alphaherpesvirus 3,panine alphaherpesvirus 3; chimpanzee herpesvirus,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Papiine alphaherpesvirus 2,papiine alphaherpesvirus 2; herpesvirus papio 2,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Pteropodid alphaherpesvirus 1,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Simplexvirus,Saimiriine alphaherpesvirus 1,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 5,bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Bubaline alphaherpesvirus 1,bubaline alphaherpesvirus 1; water buffalo herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Canid alphaherpesvirus 1,canid alphaherpesvirus 1; canine herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Caprine alphaherpesvirus 1,caprine alphaherpesvirus 1; goat herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Cercopithecine alphaherpesvirus 9,cercopithecine alphaherpesvirus 9; simian varicella virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 1,cervid alphaherpesvirus 1; red deer herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 2,cervid alphaherpesvirus 2; reindeer herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Cervid alphaherpesvirus 3,cervid alphaherpesvirus 3; elk herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 1,equid alphaherpesvirus 1; equine abortion virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 3,equid alphaherpesvirus 3; equine coital exanthema virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,equid alphaherpesvirus 4; equine rhinopneumonitis virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 8,equid alphaherpesvirus 8; asinine herpesvirus 3,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 9,equid alphaherpesvirus 9; gazelle herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Felid alphaherpesvirus 1,felid alphaherpesvirus 1; feline viral rhinotracheitis virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Human alphaherpesvirus 3,human alphaherpesvirus 3; varicella-zoster virus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Monodontid alphaherpesvirus 1,monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Phocid alphaherpesvirus 1,phocid alphaherpesvirus 1; harbour seal herpesvirus,dsDNA,vertebrates
Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1,suid alphaherpesvirus 1; pseudorabies virus,dsDNA,vertebrates
Herpesviridae,,Chelonid alphaherpesvirus 6,chelonid alphaherpesvirus 6; lung¨Ceye¨Ctrachea disease-associated virus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Aotine betaherpesvirus 1,aotine betaherpesvirus 1; owl monkey cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Cebine betaherpesvirus 1,cebine betaherpesvirus 1; capuchin monkey cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Cercopithecine betaherpesvirus 5,cercopithecine betaherpesvirus 5; simian cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,human betaherpesvirus 5; human cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Macacine betaherpesvirus 3,macacine betaherpesvirus 3; rhesus cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Macacine betaherpesvirus 8,macacine betaherpesvirus 8; cynomolgus macaque cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Mandrilline betaherpesvirus 1,mandrilline betaherpesvirus 1; drill monkey cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Panine betaherpesvirus 2,panine betaherpesvirus 2; chimpanzee cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Papiine betaherpesvirus 3,papiine betaherpesvirus 3; olive baboon cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Papiine betaherpesvirus 4,papiine betaherpesvirus 4; chacma baboon cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Cytomegalovirus,Saimiriine betaherpesvirus 4,saimiriine betaherpesvirus 4; squirrel monkey cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Muromegalovirus,Murid betaherpesvirus 1,murid betaherpesvirus 1; murine cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Muromegalovirus,Murid betaherpesvirus 2,murid betaherpesvirus 2; rat cytomegalovirus strain Maastricht,dsDNA,vertebrates
Herpesviridae,Muromegalovirus,Murid betaherpesvirus 8,murid betaherpesvirus 8; rat cytomegalovirus strain England,dsDNA,vertebrates
Herpesviridae,Proboscivirus,Elephantid betaherpesvirus 1,elephantid betaherpesvirus 1; elephantid endotheliotropic herpesvirus 1,dsDNA,vertebrates
Herpesviridae,Proboscivirus,Elephantid betaherpesvirus 4,elephantid betaherpesvirus 4; elephantid endotheliotropic herpesvirus 4,dsDNA,vertebrates
Herpesviridae,Proboscivirus,Elephantid betaherpesvirus 5,elephantid betaherpesvirus 5; elephantid endotheliotropic herpesvirus 5,dsDNA,vertebrates
Herpesviridae,Quwivirus,Caviid betaherpesvirus 2,caviid betaherpesvirus 2; guinea pig cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Quwivirus,Miniopterid betaherpesvirus 1,miniopterid betaherpesvirus 1; Miniopterus schreibersii herpesvirus,dsDNA,vertebrates
Herpesviridae,Quwivirus,Tupaiid betaherpesvirus 1,tupaiid betaherpesvirus 1; tupaia herpesvirus,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Human betaherpesvirus 7,human betaherpesvirus 7; human herpesvirus 7,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Human betaherpesvirus 6A,human betaherpesvirus 6A; human herpesvirus 6A,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Human betaherpesvirus 6B,human betaherpesvirus 6B; human herpesvirus 6B,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Macacine betaherpesvirus 9,macacine betaherpesvirus 9; Macaca nemestrina herpesvirus 7,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Murid betaherpesvirus 3,murid betaherpesvirus 3; mouse thymic virus,dsDNA,vertebrates
Herpesviridae,Roseolovirus,Suid betaherpesvirus 2,suid betaherpesvirus 2; porcine cytomegalovirus,dsDNA,vertebrates
Herpesviridae,Bossavirus,Delphinid gammaherpesvirus 1,delphinid gammaherpesvirus 1; common bottlenose dolphin gammaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Callitrichine gammaherpesvirus 3,callitrichine gammaherpesvirus 3; marmoset lymphosarcoma virus,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Cercopithecine gammaherpesvirus 14,cercopithecine gammaherpesvirus 14; African green monkey EBV-like virus,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Gorilline gammaherpesvirus 1,gorilline gammaherpesvirus 1; herpesvirus gorilla,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,human gammaherpesvirus 4; Epstein-Barr virus,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Macacine gammaherpesvirus 4,macacine gammaherpesvirus 4; rhesus lymphocryptovirus,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Macacine gammaherpesvirus 10,macacine gammaherpesvirus 10; cynomolgus macaque lymphocryptovirus,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Panine gammaherpesvirus 1,panine gammaherpesvirus 1; herpesvirus pan,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Papiine gammaherpesvirus 1,papiine gammaherpesvirus 1; herpesvirus papio,dsDNA,vertebrates
Herpesviridae,Lymphocryptovirus,Pongine gammaherpesvirus 2,pongine gammaherpesvirus 2; herpesvirus pongo,dsDNA,vertebrates
Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 1,alcelaphine gammaherpesvirus 1; wildebeest-associated malignant catarrhal fever virus,dsDNA,vertebrates
Herpesviridae,Macavirus,Alcelaphine gammaherpesvirus 2,alcelaphine gammaherpesvirus 2; hartebeest-associated malignant catarrhal fever virus,dsDNA,vertebrates
Herpesviridae,Macavirus,Bovine gammaherpesvirus 6,bovine gammaherpesvirus 6; bovine lymphotropic herpesvirus,dsDNA,vertebrates
Herpesviridae,Macavirus,Caprine gammaherpesvirus 2,caprine gammaherpesvirus 2; caprine herpesvirus 2,dsDNA,vertebrates
Herpesviridae,Macavirus,Hippotragine gammaherpesvirus 1,hippotragine gammaherpesvirus 1; roan antelope herpesvirus,dsDNA,vertebrates
Herpesviridae,Macavirus,Ovine gammaherpesvirus 2,ovine gammaherpesvirus 2; sheep-associated malignant catarrhal fever virus,dsDNA,vertebrates
Herpesviridae,Macavirus,Suid gammaherpesvirus 3,suid gammaherpesvirus 3; porcine lymphotropic herpesvirus 1,dsDNA,vertebrates
Herpesviridae,Macavirus,Suid gammaherpesvirus 4,suid gammaherpesvirus 4; porcine lymphotropic herpesvirus 2,dsDNA,vertebrates
Herpesviridae,Macavirus,Suid gammaherpesvirus 5,suid gammaherpesvirus 5; porcine lymphotropic herpesvirus 3,dsDNA,vertebrates
Herpesviridae,Manticavirus,Phascolarctid gammaherpesvirus 1,phascolarctid gammaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Manticavirus,Vombatid gammaherpesvirus 1,vombatid gammaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Patagivirus,Vespertilionid gammaherpesvirus 3,vespertilionid gammaherpesvirus 3; Eptesicus fuscus gammaherpesvirus,dsDNA,vertebrates
Herpesviridae,Percavirus,Equid gammaherpesvirus 2,equid gammaherpesvirus 2; equine herpesvirus 2,dsDNA,vertebrates
Herpesviridae,Percavirus,Equid gammaherpesvirus 5,equid gammaherpesvirus 5; equine herpesvirus 5,dsDNA,vertebrates
Herpesviridae,Percavirus,Felid gammaherpesvirus 1,felid gammaherpesvirus 1; Felis catus gammaherpesvirus 1,dsDNA,vertebrates
Herpesviridae,Percavirus,Mustelid gammaherpesvirus 1,mustelid gammaherpesvirus 1; badger herpesvirus,dsDNA,vertebrates
Herpesviridae,Percavirus,Phocid gammaherpesvirus 3,phocid gammaherpesvirus 3; harp seal herpesvirus,dsDNA,vertebrates
Herpesviridae,Percavirus,Vespertilionid gammaherpesvirus 1,vespertilionid gammaherpesvirus 1; bat gammaherpesvirus 8,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 2,ateline gammaherpesvirus 2; herpesvirus ateles strain 810,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 3,ateline gammaherpesvirus 3; herpesvirus ateles,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Bovine gammaherpesvirus 4,bovine gammaherpesvirus 4; bovine herpesvirus 4,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Cricetid gammaherpesvirus 2,cricetid gammaherpesvirus 2; rodent herpesvirus Peru,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,human gammaherpesvirus 8; Kaposi's sarcoma-associated herpesvirus,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Macacine gammaherpesvirus 5,macacine gammaherpesvirus 5; rhesus rhadinovirus,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Macacine gammaherpesvirus 8,macacine gammaherpesvirus 8; retroperitoneal fibromatosis-associated herpesvirus Macaca nemestrina,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Macacine gammaherpesvirus 11,macacine gammaherpesvirus 11; Japanese macaque rhadinovirus,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Macacine gammaherpesvirus 12,macacine gammaherpesvirus 12; pig-tailed macaque rhadinovirus 2,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Murid gammaherpesvirus 4,murid gammaherpesvirus 4; murine gammaherpesvirus 68,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Murid gammaherpesvirus 7,murid gammaherpesvirus 7; wood mouse herpesvirus,dsDNA,vertebrates
Herpesviridae,Rhadinovirus,Saimiriine gammaherpesvirus 2,saimiriine gammaherpesvirus 2; herpesvirus saimiri,dsDNA,vertebrates
Herpesviridae,,Equid gammaherpesvirus 7,equid gammaherpesvirus 7; asinine herpesvirus 2,dsDNA,vertebrates
Herpesviridae,,Phocid gammaherpesvirus 2,phocid gammaherpesvirus 2; phocid herpesvirus 2,dsDNA,vertebrates
Herpesviridae,,Saguinine gammaherpesvirus 1,saguinine gammaherpesvirus 1; herpesvirus saguinus,dsDNA,vertebrates
Herpesviridae,,Iguanid herpesvirus 2,iguanid herpesvirus 2; iguana herpesvirus,dsDNA,vertebrates
Malacoherpesviridae,Aurivirus,Haliotid herpesvirus 1,abalone herpesvirus; haliotid herpesvirus 1,dsDNA,vertebrates
Malacoherpesviridae,Ostreavirus,Ostreid herpesvirus 1,oyster herpesvirus; ostreid herpesvirus 1,dsDNA,vertebrates
Crevaviridae,Junduvirus,Junduvirus communis,uncultured phage cr2_1,dsDNA,bacteria
Crevaviridae,Junduvirus,Junduvirus copri,uncultured phage cr25_1,dsDNA,bacteria
Crevaviridae,Kahucivirus,Kahucivirus intestinalis,uncultured phage cr127_1,dsDNA,bacteria
Crevaviridae,Kingevirus,Kingevirus communis,uncultured phage cr13_1,dsDNA,bacteria
Intestiviridae,Jahgtovirus,Jahgtovirus gastrointestinalis,uncultured phage cr36_1,dsDNA,bacteria
Intestiviridae,Jahgtovirus,Jahgtovirus intestinalis,uncultured phage cr54_1,dsDNA,bacteria
Intestiviridae,Jahgtovirus,Jahgtovirus intestinihominis,uncultured phage cr107_1,dsDNA,bacteria
Intestiviridae,Jahgtovirus,Jahgtovirus secundus,Bacteroides phage crAss002,dsDNA,bacteria
Intestiviridae,Carjivirus,Carjivirus communis,crAssphage,dsDNA,bacteria
Intestiviridae,Carjivirus,Carjivirus hominis,uncultured phage cr99_1,dsDNA,bacteria
Intestiviridae,Dabirmavirus,Dabirmavirus hominis,uncultured phage cr9_1,dsDNA,bacteria
Intestiviridae,Delmidovirus,Delmidovirus copri,uncultured phage cr123_1,dsDNA,bacteria
Intestiviridae,Delmidovirus,Delmidovirus intestinihominis,uncultured phage cr110_1,dsDNA,bacteria
Intestiviridae,Delmidovirus,Delmidovirus splanchnicus,uncultured phage cr11_1,dsDNA,bacteria
Intestiviridae,Diorhovirus,Diorhovirus copri,uncultured phage cr49_1,dsDNA,bacteria
Intestiviridae,Diorhovirus,Diorhovirus intestinalis,uncultured phage cr3_1,dsDNA,bacteria
Intestiviridae,Drivevirus,Drivevirus gastrointestinalis,uncultured phage cr91_1,dsDNA,bacteria
Intestiviridae,Endlipuvirus,Endlipuvirus intestinihominis,uncultured phage cr17_1,dsDNA,bacteria
Intestiviridae,Whopevirus,Whopevirus animalis,crAssphage sp. isolate ctbg_1,dsDNA,bacteria
Intestiviridae,Fohxhuevirus,Fohxhuevirus gastrointestinalis,uncultured phage cr8_1,dsDNA,bacteria
Intestiviridae,Hacihdavirus,Hacihdavirus animalis,uncultured phage cr271_1,dsDNA,bacteria
Intestiviridae,Wotdevirus,Wotdevirus murinus,crAssphage sp. isolate ctcc615,dsDNA,bacteria
Steigviridae,Akihdevirus,Akihdevirus balticus,Cellulophaga phage phi14:2,dsDNA,bacteria
Steigviridae,Kahnovirus,Kahnovirus copri,uncultured phage cr44_1,dsDNA,bacteria
Steigviridae,Kahnovirus,Kahnovirus oralis,uncultured phage cr85_1,dsDNA,bacteria
Steigviridae,Kehishuvirus,Kehishuvirus primarius,Bacteroides phage crAss001,dsDNA,bacteria
Steigviridae,Kehishuvirus,Kehishuvirus splanchnicus,uncultured phage cr112_1,dsDNA,bacteria
Steigviridae,Kolpuevirus,Kolpuevirus coli,uncultured phage cr151_1,dsDNA,bacteria
Steigviridae,Kolpuevirus,Kolpuevirus hominis,uncultured phage cr126_1,dsDNA,bacteria
Steigviridae,Lahndsivirus,Lahndsivirus rarus,uncultured phage cr111_1,dsDNA,bacteria
Steigviridae,Lebriduvirus,Lebriduvirus gastrointestinalis,uncultured phage cr18_1,dsDNA,bacteria
Steigviridae,Mahlunavirus,Mahlunavirus rarus,uncultured phage cr128_1,dsDNA,bacteria
Steigviridae,Mahstovirus,Mahstovirus faecalis,uncultured phage cr106_1,dsDNA,bacteria
Steigviridae,Pamirivirus,Pamirivirus faecium,uncultured phage cr116_1,dsDNA,bacteria
Steigviridae,Paundivirus,Paundivirus hollandii,IAS virus,dsDNA,bacteria
Steigviridae,Pipoluvirus,Pipoluvirus rarus,uncultured phage cr108_1,dsDNA,bacteria
Steigviridae,Wulfhauvirus,Wulfhauvirus bangladeshii,Bacteroides phage DAC15,dsDNA,bacteria
Suoliviridae,Afonbuvirus,Afonbuvirus coli,uncultured phage cr35_1,dsDNA,bacteria
Suoliviridae,Afonbuvirus,Afonbuvirus faecalis,uncultured phage cr6_1,dsDNA,bacteria
Suoliviridae,Afonbuvirus,Afonbuvirus intestinihominis,uncultured phage cr12_1,dsDNA,bacteria
Suoliviridae,Canhaevirus,Canhaevirus faecalis,uncultured phage cr77_1,dsDNA,bacteria
Suoliviridae,Canhaevirus,Canhaevirus hiberniae,uncultured phage cr10_1,dsDNA,bacteria
Suoliviridae,Cohcovirus,Cohcovirus hiberniae,uncultured phage cr50_1,dsDNA,bacteria
Suoliviridae,Cohcovirus,Cohcovirus splanchnicus,uncultured phage cr30_1,dsDNA,bacteria
Suoliviridae,Culoivirus,Culoivirus americanus,uncultured phage cr1_1,dsDNA,bacteria
Suoliviridae,Culoivirus,Culoivirus faecalis,uncultured phage cr149_1,dsDNA,bacteria
Suoliviridae,Culoivirus,Culoivirus intestinalis,uncultured phage cr55_1,dsDNA,bacteria
Suoliviridae,Blohavirus,Blohavirus americanus,uncultured phage cr53_1,dsDNA,bacteria
Suoliviridae,Blohavirus,Blohavirus faecalis,uncultured phage cr150_1,dsDNA,bacteria
Suoliviridae,Buchavirus,Buchavirus coli,uncultured phage cr113_1,dsDNA,bacteria
Suoliviridae,Buchavirus,Buchavirus copri,uncultured phage cr52_1,dsDNA,bacteria
Suoliviridae,Buchavirus,Buchavirus faecalis,uncultured phage cr56_1,dsDNA,bacteria
Suoliviridae,Buchavirus,Buchavirus hiberniae,uncultured phage cr16_1,dsDNA,bacteria
